iter	Passed	Remaining
1207	39522	25912
1208	39555	25879
1209	39588	25846
1210	39620	25813
1211	39652	25780
1212	39685	25748
1213	39719	25716
1214	39752	25683
1215	39785	25651
1216	39821	25620
1217	39855	25588
1218	39890	25557
1219	39923	25524
1220	39955	25491
1221	39988	25459
1222	40021	25426
1223	40056	25394
1224	40089	25362
1225	40125	25332
1226	40160	25300
1227	40198	25271
1228	40232	25239
1229	40267	25207
1230	40304	25178
1231	40338	25146
1232	40373	25114
1233	40407	25082
1234	40440	25049
1235	40472	25017
1236	40506	24984
1237	40538	24952
1238	40571	24918
1239	40603	24886
1240	40637	24854
1241	40670	24821
1242	40702	24788
1243	40735	24755
1244	40769	24723
1245	40802	24690
1246	40834	24658
1247	40867	24625
1248	40901	24593
1249	40937	24562
1250	40971	24530
1251	41003	24497
1252	41035	24464
1253	41068	24431
1254	41101	24399
1255	41133	24365
1256	41165	24332
1257	41200	24300
1258	41231	24267
1259	41264	24234
1260	41294	24200
1261	41327	24167
1262	41358	24134
1263	41391	24101
1264	41422	24067
1265	41454	24034
1266	41486	24001
1267	41520	23969
1268	41551	23935
1269	41587	23904
1270	41624	23874
1271	41663	23845
1272	41697	23812
1273	41732	23781
1274	41767	23749
1275	41803	23719
1276	41839	23688
1277	41874	23656
1278	41909	23625
1279	41944	23593
1280	41980	23563
1281	42017	23532
1282	42050	23499
1283	42082	23466
1284	42115	23434
1285	42150	23402
1286	42185	23370
1287	42217	23337
1288	42250	23304
1289	42283	23272
1290	42315	23239
1291	42348	23206
1292	42380	23173
1293	42413	23140
1294	42444	23106
1295	42477	23074
1296	42511	23042
1297	42546	23010
1298	42578	22977
1299	42615	22946
1300	42648	22914
1301	42680	22880
1302	42711	22847
1303	42744	22814
1304	42778	22782
1305	42810	22749
1306	42845	22717
1307	42877	22684
1308	42910	22651
1309	42944	22619
1310	42977	22586
1311	43012	22555
1312	43048	22524
1313	43082	22491
1314	43115	22459
1315	43149	22427
1316	43184	22395
1317	43215	22362
1318	43248	22329
1319	43280	22295
1320	43311	22262
1321	43343	22229
1322	43376	22196
1323	43408	22163
1324	43441	22130
1325	43473	22097
1326	43506	22064
1327	43540	22032
1328	43574	22000
1329	43609	21968
1330	43642	21935
1331	43673	21902
1332	43706	21869
1333	43737	21835
1334	43768	21802
1335	43800	21769
1336	43832	21735
1337	43866	21703
1338	43897	21670
1339	43932	21638
1340	43965	21605
1341	43997	21572
1342	44028	21538
1343	44061	21506
1344	44094	21473
1345	44128	21441
1346	44160	21408
1347	44193	21375
1348	44225	21342
1349	44259	21309
1350	44290	21276
1351	44323	21243
1352	44357	21211
1353	44390	21178
1354	44422	21145
1355	44455	21113
1356	44487	21080
1357	44520	21047
1358	44552	21014
1359	44586	20981
1360	44621	20949
1361	44654	20917
1362	44686	20884
1363	44719	20851
1364	44752	20818
1365	44787	20787
1366	44819	20753
1367	44853	20721
1368	44886	20689
1369	44921	20657
1370	44955	20624
1371	44986	20591
1372	45017	20558
1373	45050	20525
1374	45083	20492
1375	45116	20460
1376	45152	20428
1377	45188	20396
1378	45221	20364
1379	45258	20333
1380	45291	20300
1381	45324	20268
1382	45356	20235
1383	45390	20202
1384	45426	20171
1385	45461	20139
1386	45493	20106
1387	45529	20074
1388	45563	20042
1389	45597	20010
1390	45632	19978
1391	45664	19945
1392	45697	19912
1393	45730	19880
1394	45764	19847
1395	45796	19814
1396	45826	19780
1397	45856	19746
1398	45888	19713
1399	45918	19679
1400	45949	19645
1401	45980	19612
1402	46011	19578
1403	46043	19545
1404	46074	19512
1405	46107	19479
1406	46140	19446
1407	46171	19412
1408	46203	19380
1409	46237	19347
1410	46267	19313
1411	46297	19279
1412	46328	19246
1413	46360	19212
1414	46390	19178
1415	46420	19145
1416	46451	19111
1417	46482	19078
1418	46513	19044
1419	46545	19011
1420	46576	18978
1421	46607	18944
1422	46640	18911
1423	46670	18877
1424	46700	18843
1425	46730	18810
1426	46760	18776
1427	46794	18743
1428	46827	18711
1429	46857	18677
1430	46888	18643
1431	46920	18610
1432	46951	18577
1433	46981	18543
1434	47010	18509
1435	47041	18475
1436	47072	18442
1437	47105	18409
1438	47138	18377
1439	47171	18344
1440	47202	18311
1441	47232	18277
1442	47263	18243
1443	47295	18210
1444	47326	18177
1445	47357	18143
1446	47390	18111
1447	47421	18077
1448	47451	18044
1449	47482	18010
1450	47513	17977
1451	47543	17943
1452	47589	17915
1453	47622	17883
1454	47655	17850
1455	47687	17817
1456	47718	17783
1457	47748	17750
1458	47782	17717
1459	47815	17685
1460	47847	17652
1461	47879	17618
1462	47911	17585
1463	47942	17552
1464	47973	17519
1465	48005	17486
1466	48036	17452
1467	48065	17418
1468	48096	17385
1469	48128	17352
1470	48161	17319
1471	48192	17286
1472	48223	17253
1473	48254	17219
1474	48285	17186
1475	48317	17153
1476	48348	17120
1477	48380	17087
1478	48413	17054
1479	48444	17020
1480	48474	16987
1481	48505	16953
1482	48535	16920
1483	48567	16887
1484	48599	16854
1485	48631	16821
1486	48663	16788
1487	48695	16755
1488	48726	16722
1489	48756	16688
1490	48786	16654
1491	48816	16621
1492	48845	16587
1493	48877	16554
1494	48909	16521
1495	48946	16490
1496	48979	16457
1497	49010	16424
1498	49040	16390
1499	49070	16356
1500	49100	16323
1501	49133	16290
1502	49166	16258
1503	49201	16225
1504	49233	16193
1505	49266	16160
1506	49300	16128
1507	49333	16095
1508	49367	16063
1509	49399	16030
1510	49432	15997
1511	49465	15965
1512	49499	15932
1513	49530	15899
1514	49563	15866
1515	49595	15833
1516	49626	15800
1517	49661	15768
1518	49692	15735
1519	49723	15702
1520	49756	15669
1521	49790	15637
1522	49822	15604
1523	49855	15571
1524	49888	15539
1525	49924	15507
1526	49956	15474
1527	49987	15441
1528	50021	15408
1529	50054	15376
1530	50086	15343
1531	50121	15311
1532	50158	15279
1533	50191	15247
1534	50223	15214
1535	50256	15181
1536	50289	15148
1537	50320	15115
1538	50353	15083
1539	50385	15050
1540	50419	15017
1541	50452	14985
1542	50485	14952
1543	50517	14919
1544	50549	14886
1545	50581	14853
1546	50613	14820
1547	50647	14788
1548	50681	14756
1549	50713	14723
1550	50745	14690
1551	50778	14657
1552	50811	14625
1553	50843	14592
1554	50874	14559
1555	50907	14526
1556	50940	14493
1557	50971	14460
1558	51004	14427
1559	51038	14395
1560	51070	14362
1561	51103	14330
1562	51138	14297
1563	51173	14265
1564	51206	14233
1565	51239	14200
1566	51273	14168
1567	51306	14135
1568	51340	14103
1569	51384	14073
1570	51416	14040
1571	51448	14007
1572	51483	13975
1573	51517	13943
1574	51549	13910
1575	51582	13877
1576	51615	13844
1577	51647	13811
1578	51681	13779
1579	51713	13746
1580	51746	13713
1581	51779	13681
1582	51811	13648
1583	51843	13615
1584	51874	13582
1585	51906	13549
1586	51940	13517
1587	51973	13484
1588	52006	13451
1589	52037	13418
1590	52070	13385
1591	52103	13353
1592	52138	13320
1593	52170	13288
1594	52202	13255
1595	52234	13222
1596	52267	13189
1597	52300	13156
1598	52332	13123
1599	52366	13091
1600	52400	13059
1601	52433	13026
1602	52466	12993
1603	52501	12961
1604	52534	12928
1605	52566	12896
1606	52599	12863
1607	52633	12831
1608	52667	12798
1609	52700	12765
1610	52732	12733
1611	52764	12700
1612	52799	12667
1613	52831	12635
1614	52864	12602
1615	52895	12569
1616	52929	12536
1617	52962	12504
1618	52993	12471
1619	53026	12438
1620	53061	12406
1621	53093	12373
1622	53128	12340
1623	53159	12307
1624	53193	12275
1625	53226	12242
1626	53260	12210
1627	53292	12177
1628	53324	12144
1629	53356	12111
1630	53388	12078
1631	53421	12046
1632	53453	12013
1633	53487	11980
1634	53518	11947
1635	53550	11914
1636	53588	11883
1637	53620	11850
1638	53652	11817
1639	53685	11784
1640	53719	11752
1641	53754	11720
1642	53786	11687
1643	53818	11654
1644	53850	11621
1645	53883	11588
1646	53915	11555
1647	53946	11522
1648	53978	11489
1649	54011	11456
1650	54045	11424
1651	54079	11392
1652	54113	11359
1653	54146	11326
1654	54180	11294
1655	54214	11261
1656	54246	11228
1657	54279	11196
1658	54312	11163
1659	54345	11131
1660	54379	11098
